9;right;thumb;DRAG;-1;1509975628,95146548,-3,0,-2,0,-2,0,-2,-3,-1,0,1,-1,-2,0,1,3,0,-2,1,0,0,-2,1,-3,0,0,1,76,4,4,1,2,3,1,4,1,2,4,0,5,4,2,4,2,1,1,0,1,4,2,2,4,2,2,2,1,4,4,1,2,1,2,5,2,5,7,2,2,4,5,1,4,4,1,4,2,0,4,7,1,4,2,4,5,5,2,5,4,2,2,1,1,2,1,4,5,1,4,4,5,4,2,2,2,5,4,5,4,1,4,4,4,1,2,5,1,5,7,2,1,1,1,2,2,1,1,2,1,1,0,2,4,1,0,1,2,2,2,1,2,4,7,4,4,1,4,1,1,1,1,4,2,2,1,1,1,-2,0,1,2,2,2,-2,2,1,1,0,1,-2,0,0,-2,1,0,0,0,4,1,1,-2,0,2,0,1,-2,0,1,0,0,1,0,1,0,-3,0,2,0,2,2,1,2,2,1,0,-2,1,2,4,2,4,4,2,2,2,2,2,1,-2,2,0,0,1,1,2,-2,2,1,0,2,1,0,-2,0,-2,-3,-2,0,0,1,0,-2,0,0,2,-3,-2,0,1,-3,-2,-2,0,-5,-2,-2,2,4,1,1,0,-3,-2,-2,1,-2,0,-3,2,1,1,-2,1,1,1,-2,1,-2,-2,-2,-5,1,-3,1,-2,2,2,0,1,1,1,1,1,2,0,0,1,1,1,1,0,-2,1,0,2,0,1,0,0,-2,2,2,2,0,-3,2,4,1,1,4,0,1,2,1,2,0,4,0,2,0,-2,0,2,1,0,-2,2,0,0,0,1,0,1,1,1,-2,1,1,1,1,1,0,0,1,0,2,1,0,1,1,-2,0,1,1,1,1,1,1,0,1,0,1,2,1,-3,-5,0,0,1,0,-2,-2,-2,-3,-3,0,-2,1,-3,-5,-8,0,-3,-2,0,0,-2,-3,0,0,-3,-2,0,0,-2,-2,
9;right;thumb;DRAG;-1;1509975628,95146548,-3,0,-2,0,-2,0,-2,-3,-1,0,1,-1,-2,0,1,3,0,-2,1,0,0,-2,1,-3,0,0,1,76,4,4,1,2,3,1,4,1,2,4,0,5,4,2,4,2,1,1,0,1,4,2,2,4,2,2,2,1,4,4,1,2,1,2,5,2,5,7,2,2,4,5,1,4,4,1,4,2,0,4,7,1,4,2,4,5,5,2,5,4,2,2,1,1,2,1,4,5,1,4,4,5,4,2,2,2,5,4,5,4,1,4,4,4,1,2,5,1,5,7,2,1,1,1,2,2,1,1,2,1,1,0,2,4,1,0,1,2,2,2,1,2,4,7,4,4,1,4,1,1,1,1,4,2,2,1,1,1,-2,0,1,2,2,2,-2,2,1,1,0,1,-2,0,0,-2,1,0,0,0,4,1,1,-2,0,2,0,1,-2,0,1,0,0,1,0,1,0,-3,0,2,0,2,2,1,2,2,1,0,-2,1,2,4,2,4,4,2,2,2,2,2,1,-2,2,0,0,1,1,2,-2,2,1,0,2,1,0,-2,0,-2,-3,-2,0,0,1,0,-2,0,0,2,-3,-2,0,1,-3,-2,-2,0,-5,-2,-2,2,4,1,1,0,-3,-2,-2,1,-2,0,-3,2,1,1,-2,1,1,1,-2,1,-2,-2,-2,-5,1,-3,1,-2,2,2,0,1,1,1,1,1,2,0,0,1,1,1,1,0,-2,1,0,2,0,1,0,0,-2,2,2,2,0,-3,2,4,1,1,4,0,1,2,1,2,0,4,0,2,0,-2,0,2,1,0,-2,2,0,0,0,1,0,1,1,1,-2,1,1,1,1,1,0,0,1,0,2,1,0,1,1,-2,0,1,1,1,1,1,1,0,1,0,1,2,1,-3,-5,0,0,1,0,-2,-2,-2,-3,-3,0,-2,1,-3,-5,-8,0,-3,-2,0,0,-2,-3,0,0,-3,-2,0,0,-2,-2,
9;right;thumb;DRAG;-1;1509975628,164138528,-3,0,-2,0,-2,0,-2,-3,-1,0,1,-1,-2,0,1,3,0,-2,1,0,0,-2,1,-3,0,0,1,76,4,4,1,2,3,1,4,1,2,4,0,5,4,2,4,2,1,1,0,1,4,2,2,4,2,2,2,1,4,4,1,2,1,2,5,2,5,7,2,2,4,5,1,4,4,1,4,2,0,4,7,1,4,2,4,5,88,2,1,1,1,1,2,2,2,2,2,3,1,-1,2,2,4,1,2,2,3,1,1,0,2,2,0,2,1,0,0,0,1,3,1,0,0,0,0,-1,0,2,0,2,2,0,1,2,-2,0,1,-2,2,0,-2,2,1,2,0,2,0,4,1,1,0,2,0,1,-2,0,1,1,0,1,0,1,-2,1,0,-2,1,-2,-3,1,-2,1,0,-2,-2,0,0,-2,-2,1,0,0,-3,1,-3,-2,0,-3,-3,-5,0,-3,-5,-2,-2,-3,2,0,-3,-2,-2,0,1,-2,-2,1,0,1,-3,1,-2,-2,0,-2,-5,-5,0,0,-2,-5,0,-6,-5,-2,0,-3,-3,4,1,5,1,2,2,2,0,0,-2,0,2,2,0,1,0,1,1,-2,-3,-2,0,-2,-2,-2,-2,-2,-2,0,1,0,-3,0,1,2,1,1,1,0,0,1,1,2,4,1,1,1,0,1,2,2,1,0,2,2,0,1,4,1,4,2,0,2,1,1,2,1,2,5,2,2,0,2,5,2,2,-3,0,0,1,1,-2,-3,0,1,-2,0,0,1,0,0,4,2,0,0,-2,0,0,-2,1,1,0,-2,4,1,-3,-2,-2,-5,-2,-5,-2,-3,-2,-2,0,-5,0,-2,-2,0,-2,-3,0,-2,0,-3,0,2,0,0,-2,1,-2,-2,-3,-2,0,-3,-2,0,-2,-2,2,-3,-2,0,-2,-2,-3,0,2,0,0,0,0,0,0,-5,0,1,-3,0,-3,-6,0,-2,-5,1,0,1,-3,-2,1,-2,0,-5,-2,0,-3,
9;right;thumb;DRAG;-1;1509975628,229925924,-3,0,-2,0,-2,0,-2,-3,-1,0,1,-1,-2,0,1,3,0,-2,1,0,0,43,0,2,1,1,1,1,1,2,1,1,0,1,0,0,0,2,-2,-1,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,-2,2,2,1,1,0,1,0,-2,1,-5,0,-2,0,-2,-2,0,-2,0,-2,0,0,0,0,-2,0,1,0,-2,0,0,0,-3,-2,-2,0,1,1,0,0,-2,0,-2,0,1,0,1,0,2,0,0,1,-3,1,-2,-2,1,0,0,1,0,1,-2,0,-2,0,-2,0,2,0,0,-2,0,0,0,0,0,0,0,1,1,0,-3,-2,-2,-2,-2,-2,-2,-3,0,-3,-3,-2,-2,-3,0,-2,0,-2,0,-2,0,0,0,1,-3,1,0,-2,0,-2,2,-2,-2,0,1,-2,-2,-2,0,1,1,-2,-2,-2,0,-2,1,-2,1,0,0,-2,-2,0,0,-2,-3,-2,0,0,1,0,0,0,0,0,0,1,-2,1,0,-2,0,2,0,-2,-2,-2,-2,1,-2,-2,0,-2,1,0,0,0,-2,-3,-5,-2,0,1,0,-2,-2,-2,0,-2,-3,-2,0,1,1,2,0,1,-3,0,1,0,1,0,1,0,0,2,1,-2,-2,0,-2,0,1,-3,-3,0,2,-2,-2,0,-2,-3,0,-2,2,1,1,1,-2,0,1,0,1,0,1,2,2,1,1,1,1,-2,0,1,2,1,2,2,1,0,1,1,2,0,2,1,0,-2,1,1,-2,0,0,0,1,0,1,-2,0,1,1,-3,1,1,1,0,-2,0,-2,-2,1,-2,0,0,0,-3,1,1,-3,1,0,1,0,1,-2,0,-2,1,0,0,1,4,0,-2,0,0,1,1,2,1,2,0,1,-2,0,1,-2,0,0,-2,2,0,2,4,0,1,0,-3,-2,-2,-2,-3,-3,0,-3,-5,-2,-3,-2,-2,-2,-2,-2,-3,-3,0,-2,0,0,-5,1,-2,1,-3,-3,-2,-3,
9;right;thumb;DRAG;-1;1509975628,229925924,-3,0,-2,0,-2,0,-2,-3,-1,0,1,-1,-2,0,1,3,0,-2,1,0,0,43,0,2,1,1,1,1,1,2,1,1,0,1,0,0,0,2,-2,-1,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,-2,2,2,1,1,0,1,0,-2,1,-5,0,-2,0,-2,-2,0,-2,0,-2,0,0,0,0,-2,0,1,0,-2,0,0,0,-3,-2,-2,0,1,1,0,0,-2,0,-2,0,1,0,1,0,2,0,0,1,-3,1,-2,-2,1,0,0,1,0,1,-2,0,-2,0,-2,0,2,0,0,-2,0,0,0,0,0,0,0,1,1,0,-3,-2,-2,-2,-2,-2,-2,-3,0,-3,-3,-2,-2,-3,0,-2,0,-2,0,-2,0,0,0,1,-3,1,0,-2,0,-2,2,-2,-2,0,1,-2,-2,-2,0,1,1,-2,-2,-2,0,-2,1,-2,1,0,0,-2,-2,0,0,-2,-3,-2,0,0,1,0,0,0,0,0,0,1,-2,1,0,-2,0,2,0,-2,-2,-2,-2,1,-2,-2,0,-2,1,0,0,0,-2,-3,-5,-2,0,1,0,-2,-2,-2,0,-2,-3,-2,0,1,1,2,0,1,-3,0,1,0,1,0,1,0,0,2,1,-2,-2,0,-2,0,1,-3,-3,0,2,-2,-2,0,-2,-3,0,-2,2,1,1,1,-2,0,1,0,1,0,1,2,2,1,1,1,1,-2,0,1,2,1,2,2,1,0,1,1,2,0,2,1,0,-2,1,1,-2,0,0,0,1,0,1,-2,0,1,1,-3,1,1,1,0,-2,0,-2,-2,1,-2,0,0,0,-3,1,1,-3,1,0,1,0,1,-2,0,-2,1,0,0,1,4,0,-2,0,0,1,1,2,1,2,0,1,-2,0,1,-2,0,0,-2,2,0,2,4,0,1,0,-3,-2,-2,-2,-3,-3,0,-3,-5,-2,-3,-2,-2,-2,-2,-2,-3,-3,0,-2,0,0,-5,1,-2,1,-3,-3,-2,-3,
9;right;thumb;DRAG;-1;1509975628,299709778,-3,0,-2,0,-2,0,-2,-3,-1,0,1,-1,-2,0,1,3,0,-2,1,0,0,43,0,2,1,1,1,1,1,2,1,1,0,1,0,0,0,2,-2,-1,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,-2,2,2,1,1,0,1,0,-2,1,-5,0,-2,0,-2,-2,0,-2,0,-2,0,0,0,0,-2,0,1,0,-2,0,0,0,-3,-2,-2,0,1,1,0,0,-2,0,-2,0,1,0,1,0,2,0,0,1,-3,1,-2,-2,1,0,0,1,0,1,-2,0,-2,0,-2,0,2,0,0,-2,0,0,0,0,0,0,0,1,1,0,-3,-2,-2,-2,-2,-2,-2,-3,0,-3,-3,-2,-2,-217,-2,-2,1,-2,2,1,0,0,0,0,-1,0,1,0,-2,0,-1,-2,-1,0,-1,-1,0,0,-2,-1,-1,-2,-1,-2,0,0,1,-2,-1,-1,0,0,0,0,0,0,0,1,-1,0,1,-2,0,0,-2,0,-2,1,-2,1,1,2,0,0,-2,-2,0,0,0,1,0,0,-3,0,1,-2,-2,-3,-5,0,1,2,4,0,1,2,0,1,-2,1,-2,0,2,1,0,2,0,1,2,0,0,2,1,2,0,2,1,0,2,-2,-2,-2,-2,0,0,-2,-3,0,0,-2,-3,-2,-3,-2,-2,-2,0,0,1,1,1,0,0,-2,-2,1,-2,0,-2,-2,-2,-2,-3,-2,0,0,-2,-2,2,1,-2,1,0,1,2,-2,0,0,1,-2,0,-2,0,1,2,-2,-2,2,1,2,1,1,1,0,0,1,0,-2,1,0,2,0,0,0,0,0,0,-2,0,0,2,0,0,1,0,0,1,-2,2,1,1,-2,-2,0,2,2,1,0,-3,1,2,-2,-2,2,0,0,1,1,2,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,-2,-2,0,0,-3,1,0,0,1,2,-2,0,1,-2,-2,1,
9;right;thumb;DRAG;-1;1509975628,369601288,-3,0,-2,0,-2,0,-2,-3,-1,0,1,-1,-2,0,1,3,0,-2,1,0,0,43,0,2,1,1,1,1,1,2,1,1,0,1,0,0,0,2,-2,-1,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,-2,2,2,1,1,0,1,0,-2,1,-5,0,-2,0,-2,-2,0,-2,0,-2,0,0,0,0,-2,0,1,0,-2,0,0,0,-3,-2,-2,0,1,1,0,0,-2,0,-2,0,1,0,1,0,2,0,0,1,-3,1,-2,-2,1,0,0,1,0,114,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,-2,0,0,0,0,0,-3,0,0,-2,-3,-2,-2,0,-2,0,0,-3,0,-2,-2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,0,-6,0,-2,-2,0,-3,0,-2,0,-2,0,-2,0,0,0,-2,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,-2,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,-2,0,0,1,0,0,0,1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,1,1,1,1,0,0,1,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
9;right;thumb;DRAG;-1;1509975628,369601288,-3,0,-2,0,-2,0,-2,-3,-1,0,1,-1,-2,0,1,3,0,-2,1,0,0,43,0,2,1,1,1,1,1,2,1,1,0,1,0,0,0,2,-2,-1,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,-2,2,2,1,1,0,1,0,-2,1,-5,0,-2,0,-2,-2,0,-2,0,-2,0,0,0,0,-2,0,1,0,-2,0,0,0,-3,-2,-2,0,1,1,0,0,-2,0,-2,0,1,0,1,0,2,0,0,1,-3,1,-2,-2,1,0,0,1,0,114,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,-2,-2,0,0,0,0,0,-3,0,0,-2,-3,-2,-2,0,-2,0,0,-3,0,-2,-2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,-2,0,-6,0,-2,-2,0,-3,0,-2,0,-2,0,-2,0,0,0,-2,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,0,0,-2,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,-2,0,0,1,0,0,0,1,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,1,1,1,1,0,0,1,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
9;right;thumb;DRAG;-1;1509975628,439425247,-3,0,-2,0,-2,0,-2,-3,-1,0,1,-1,-2,0,1,3,0,-2,1,0,0,43,0,2,1,1,1,1,1,2,1,1,0,1,0,0,0,2,-2,-1,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,-2,2,2,1,1,0,1,0,-2,1,-5,0,-2,-184,0,1,2,-1,1,0,0,-1,1,1,-1,-1,0,0,-1,-2,-1,0,2,0,-1,1,0,-1,0,1,-1,0,0,1,-2,-1,2,-1,1,0,-1,-1,-2,-5,0,0,-2,0,0,0,-2,0,-2,-2,-2,0,0,-2,-2,-2,-3,-2,-2,0,0,-3,-2,0,-2,1,0,-2,0,0,0,0,-2,1,1,0,1,-2,2,0,-2,1,4,0,1,0,1,0,0,1,1,1,0,0,1,2,0,0,2,-2,1,1,0,0,1,-2,-2,0,2,1,0,1,0,-2,-3,0,-2,0,0,2,0,1,-3,0,-2,-2,-2,0,0,0,-2,2,1,1,-2,1,1,-3,1,0,2,0,0,0,0,1,0,1,-2,1,1,2,2,0,0,0,1,1,0,2,1,1,1,2,1,2,2,0,1,1,1,0,0,-2,-2,-2,-3,-3,-3,0,-2,-3,0,0,0,-2,0,1,-2,1,-2,-3,-2,-2,0,-2,1,0,1,0,0,1,1,-2,-2,1,0,1,1,0,1,0,-3,-3,-2,0,0,0,0,2,2,-3,0,-3,1,0,-2,0,0,-3,0,0,0,0,0,1,0,1,1,-2,0,2,0,2,1,2,0,0,-2,1,-2,1,1,-3,1,-2,0,0,0,-2,0,-2,1,0,-2,-3,0,2,0,1,0,-3,-2,-2,0,-2,-2,-5,-2,-5,-2,0,-3,-3,-2,-3,-6,-2,-3,-3,-2,-3,-5,-3,0,-6,-5,-3,-3,-2,-3,-2,-2,-3,-5,-5,-5,1,1,1,2,0,0,2,0,2,1,2,2,2,1,4,1,0,-2,-2,4,0,2,0,0,1,1,-2,1,0,2,
9;right;thumb;DRAG;-1;1509975628,509343059,-3,0,-2,0,-2,0,-2,-3,-1,0,1,-1,-2,0,1,3,0,-2,-180,1,1,-1,-1,1,-1,1,1,0,-1,1,0,1,0,0,0,1,0,0,0,1,2,1,1,0,1,0,1,0,0,0,1,0,0,0,4,0,0,-2,-2,0,-2,0,1,-2,-2,0,0,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-3,-2,-3,-3,-3,-2,-3,0,0,-2,0,-2,0,0,1,1,-2,0,2,1,2,1,0,1,0,0,1,1,-3,0,0,-2,-2,0,-3,-5,-2,0,0,-2,-2,0,0,1,-2,1,0,1,1,-2,0,-2,0,0,1,1,1,-2,-2,-2,-2,0,1,-2,-2,-2,0,-2,0,0,-2,-2,-3,1,0,-2,2,0,0,-2,-3,0,-2,-2,-2,-2,0,1,-3,0,-5,-2,-3,-5,-2,-5,-5,-2,-2,-5,-2,-5,-2,0,1,1,0,0,0,-3,1,0,0,1,2,-2,-2,0,-2,-2,-5,-2,0,-2,-2,0,-2,-2,-2,0,-2,-2,-3,1,1,0,0,-2,2,1,1,2,1,-2,1,1,-2,4,0,1,1,0,0,0,0,1,0,2,-2,0,1,0,0,0,1,0,0,0,1,-3,1,0,0,0,1,0,0,0,0,1,-2,0,0,0,-2,-2,0,-2,-2,0,0,0,1,1,0,1,0,0,-2,0,-2,0,1,0,0,0,0,0,-2,-3,-5,-2,-2,0,-3,-2,-2,-2,-2,-2,-2,0,0,1,0,2,1,0,0,1,2,0,1,0,1,1,4,1,-2,0,0,0,0,1,-2,2,-2,1,-2,-2,1,2,1,0,1,2,-3,0,-2,0,0,0,1,0,1,-3,0,1,0,-2,-2,0,-2,0,-2,0,0,-2,-2,-2,1,0,0,2,1,1,1,1,2,0,0,1,1,0,4,1,2,1,0,0,-2,-2,0,0,1,1,1,-2,2,0,1,0,-2,0,-2,0,-2,2,0,-2,0,0,-2,0,0,1,-3,2,
